09-A-17;1;7
09-A-21;1;7
09-B-20;1;7
09-B-21;1;7
09-C-20;1;7
09-C-21;1;7
09-D-20;1;7
09-D-21;1;7
09-H-17;1;7
09-I-16;1;7
09-J-16;1;7
09-K-28;1;7
09-L-28;1;7
09-M-16;1;7
09-M-21;1;7
09-M-27;1;7
09-M-29;1;7
09-M-8;1;6
09-M-9;1;6
09-N-16;1;7
09-N-21;1;7
09-N-29;1;7
09-N-9;1;6
09-O-16;1;7
09-O-21;1;7
09-O-28;1;7
09-O-29;1;7
09-O-9;1;6
09-P-21;1;7
09-P-28;1;7
09-P-29;1;7
26-AE-25;1;8
26-B-25;1;7
26-BF-36;1;8
26-C-36;1;7
26-D-36;1;7
26-E-36;1;7
26-F-36;1;7
26-G-36;1;7
26-HL-25;1;8
26-L-25;1;7
26-P-25;1;7
27-A-30;1;7
27-AB-30;1;8
27-E-30;1;7
27-EF-30;1;8
27-F-30;1;7
27-F-33;1;7
27-JK-31;1;8
27-K-29;1;7
27-MN-31;1;8
27-N-19;1;7
27-O-31;1;7
27-P-29;1;7
29-ABEF-28;1;10
29-AEBF-21;1;10
29-AEBF-22;1;10
29-AEBF-27;1;10
29-CGDH-21;1;10
29-CGDH-28;1;10
29-IJMN-21;1;10
29-IJMN-28;1;10
29-IMJN-22;1;10
29-IMJN-27;1;10
29-KOLP-21;1;10
29-KOLP-28;1;10
29-M-23;1;7
30-G-6;1;6
30-LP-6;1;7
3-26E-3W;1;8
36-C-1;1;6
36-H-1;1;6
36-L-1;1;6
36-M-25;1;7
36-N-25;1;7
36-O-26;1;7
36-P-1;1;6
36-P-26;1;7
37-A-12;1;7
37-A-8;1;6
37-B-12;1;7
37-BF-8;1;7
37-DH-7;1;7
37-E-12;1;7
37-F-12;1;7
39-A-36;1;7
39-G-36;1;7
39-M-31;1;7
39-P-26;1;7
46-A-1;1;6
46-AE-12;1;8
46-B-1;1;6
46-D-2;1;6
46-E-1;1;6
46-F-1;1;6
46-G-1;1;6
46-H-2;1;6
46-I-1;1;6
46-J-1;1;6
46-L-2;1;6
46-LP-11;1;8
46-MN-1;1;7
48-A-3;1;6
48-B-3;1;6
48-B-6;1;6
48-BF-7;1;7
48-DH-4;1;7
48-EF-3;1;7
48-F-6;1;6
48-FJ-7;1;7
48-GH-4;1;7
48-J-7;1;6
48-JN-4;1;7
48-KL-4;1;7
48-MN-4;1;7
48-N-6;1;6
48-N-7;1;6
48-NB-7;1;7
49-BF-4;1;7
49-DH-8;1;7
49-KO-8;1;7
58-P-3;1;6
09-A-17;1;7
09-A-21;1;7
09-B-20;1;7
09-B-21;1;7
09-C-20;1;7
09-C-21;1;7
09-D-20;1;7
09-D-21;1;7
09-H-17;1;7
09-I-16;1;7
09-J-16;1;7
09-K-28;1;7
09-L-28;1;7
09-M-16;1;7
09-M-21;1;7
09-M-27;1;7
09-M-29;1;7
09-M-8;1;6
09-M-9;1;6
09-N-16;1;7
09-N-21;1;7
09-N-29;1;7
09-N-9;1;6
09-O-16;1;7
09-O-21;1;7
09-O-28;1;7
09-O-29;1;7
09-O-9;1;6
09-P-21;1;7
09-P-28;1;7
09-P-29;1;7
26-AE-25;1;8
26-B-25;1;7
26-BF-36;1;8
26-C-36;1;7
26-D-36;1;7
26-E-36;1;7
26-F-36;1;7
26-G-36;1;7
26-HL-25;1;8
26-L-25;1;7
26-P-25;1;7
27-A-30;1;7
27-AB-30;1;8
27-E-30;1;7
27-EF-30;1;8
27-F-30;1;7
27-F-33;1;7
27-JK-31;1;8
27-K-29;1;7
27-MN-31;1;8
27-N-19;1;7
27-O-31;1;7
27-P-29;1;7
29-ABEF-28;1;10
29-AEBF-21;1;10
29-AEBF-22;1;10
29-AEBF-27;1;10
29-CGDH-21;1;10
29-CGDH-28;1;10
29-IJMN-21;1;10
29-IJMN-28;1;10
29-IMJN-22;1;10
29-IMJN-27;1;10
29-KOLP-21;1;10
29-KOLP-28;1;10
29-M-23;1;7
30-G-6;1;6
30-LP-6;1;7
3-26E-3W;1;8
36-C-1;1;6
36-H-1;1;6
36-L-1;1;6
36-M-25;1;7
36-N-25;1;7
36-O-26;1;7
36-P-1;1;6
36-P-26;1;7
37-A-12;1;7
37-A-8;1;6
37-B-12;1;7
37-BF-8;1;7
37-DH-7;1;7
37-E-12;1;7
37-F-12;1;7
39-A-36;1;7
39-G-36;1;7
39-M-31;1;7
39-P-26;1;7
46-A-1;1;6
46-AE-12;1;8
46-B-1;1;6
46-D-2;1;6
46-E-1;1;6
46-F-1;1;6
46-G-1;1;6
46-H-2;1;6
46-I-1;1;6
46-J-1;1;6
46-L-2;1;6
46-LP-11;1;8
46-MN-1;1;7
48-A-3;1;6
48-B-3;1;6
48-B-6;1;6
48-BF-7;1;7
48-DH-4;1;7
48-EF-3;1;7
48-F-6;1;6
48-FJ-7;1;7
48-GH-4;1;7
48-J-7;1;6
48-JN-4;1;7
48-KL-4;1;7
48-MN-4;1;7
48-N-6;1;6
48-N-7;1;6
48-NB-7;1;7
49-BF-4;1;7
49-DH-8;1;7
49-KO-8;1;7
58-P-3;1;6
